Batsman,v Bowler,0s,1s,2s,3s,4s,5s,6s,7,Dismissal,Runs,Balls,SR
,TG Southee,3,1,0,0,1,0,0,0,,5,5,100
,CH Morris,2,0,0,0,1,0,0,0,,4,3,133.33
,DS Kulkarni,4,0,0,0,0,0,0,0,,0,4,0
,STR Binny,1,1,0,0,0,0,0,0,,1,2,50
,PA Patel
,TG Southee,0,1,0,0,0,0,0,0,,1,1,100
,CH Morris,1,0,0,1,1,0,0,0,,7,3,233.33
,DS Kulkarni,1,1,0,0,1,0,0,0,caught,5,3,166.66
,STR Binny,2,1,1,0,0,0,0,0,,3,4,75
,UBT Chand
,TG Southee,5,0,0,0,1,0,0,0,,4,6,66.66
,DS Kulkarni,2,1,0,0,0,0,0,0,,1,3,33.33
,DJ Hooda,1,2,0,0,0,0,0,0,,2,3,66.66
,JP Faulkner,1,0,0,0,0,0,0,0,,0,1,0
,PV Tambe,1,1,2,0,0,0,0,0,bowled,5,4,125
,RG Sharma
,DS Kulkarni,2,0,0,0,0,0,0,0,,0,2,0
,STR Binny,3,0,0,0,0,0,0,0,caught,0,3,0
,CJ Anderson
,TG Southee,1,1,0,0,1,0,1,0,,11,4,275
,CH Morris,7,1,1,0,2,0,1,0,bowled,17,12,141.66
,DS Kulkarni,1,2,0,0,0,0,0,0,,2,3,66.66
,STR Binny,2,0,0,0,1,0,0,0,,4,3,133.33
,DJ Hooda,2,1,0,0,0,0,0,0,,1,3,33.33
,JP Faulkner,6,0,1,0,0,0,1,0,,8,8,100
,PV Tambe,1,3,0,0,1,0,0,0,,7,5,140
,KA Pollard
,TG Southee,2,1,0,0,3,0,2,0,caught,25,8,312.5
,CH Morris,2,1,0,0,1,0,0,0,,5,4,125
,DS Kulkarni,1,2,0,0,1,0,0,0,,6,4,150
,JP Faulkner,4,1,0,0,2,0,2,0,,21,9,233.33
,PV Tambe,3,3,2,0,0,0,1,0,,13,9,144.44
,J Suchith
,CH Morris,1,0,0,0,0,0,0,0,,0,1,0
,S Gopal
,CH Morris,0,1,0,0,0,0,0,0,,1,1,100
,AM Rahane
,R Vinay Kumar,5,2,0,0,1,0,0,0,,6,8,75
,P Suyal,2,2,1,0,1,0,0,0,,8,6,133.33
,SL Malinga,0,1,1,0,0,0,0,0,,3,2,150
,J Suchith,3,7,3,0,1,0,0,0,,17,14,121.42
,CJ Anderson,0,2,0,0,1,0,0,0,,6,3,200
,S Gopal,2,2,2,0,0,0,0,0,caught,6,6,100
,SV Samson
,R Vinay Kumar,6,2,0,0,1,0,0,0,caught,6,9,66.66
,P Suyal,2,3,0,0,2,0,0,0,,11,7,157.14
,SPD Smith
,R Vinay Kumar,0,1,0,0,0,0,0,0,,1,1,100
,P Suyal,4,2,2,1,1,0,1,0,,19,11,172.72
,SL Malinga,5,4,4,0,6,0,0,0,,36,19,189.47
,J Suchith,1,6,2,0,1,0,0,0,,14,10,140
,CJ Anderson,5,2,2,0,0,0,0,0,,6,9,66.66
,S Gopal,0,3,0,0,0,0,0,0,,3,3,100
,DJ Hooda
,SL Malinga,1,0,0,0,0,0,0,0,bowled,0,1,0
,S Gopal,0,1,0,0,0,0,2,0,,13,3,433.33
,JP Faulkner
,P Suyal,0,2,1,0,0,0,0,0,,4,3,133.33
,SL Malinga,1,1,0,0,0,0,0,0,,1,2,50
,S Gopal,0,1,0,0,0,0,0,0,,1,1,100
,M Vijay
,NM Coulter-Nile,4,1,0,0,0,0,0,0,,1,5,20
,DJ Muthuswami,5,2,1,0,1,0,1,0,,14,10,140
,AD Mathews,2,0,0,0,1,0,0,0,caught,4,3,133.33
,V Sehwag
,NM Coulter-Nile,9,1,0,0,1,0,0,0,,5,11,45.45
,DJ Muthuswami,0,3,0,0,0,0,0,0,,3,3,100
,AD Mathews,3,5,0,0,1,0,0,0,,9,9,100
,A Mishra,2,6,0,0,0,0,0,0,,6,8,75
,Imran Tahir,0,1,0,0,2,0,1,0,,15,4,375
,Yuvraj Singh,0,2,0,0,0,0,0,0,,2,2,100
,JP Duminy,2,1,0,0,0,0,1,0,caught,7,4,175
,WP Saha
,NM Coulter-Nile,0,1,0,0,0,0,1,0,,7,2,350
,DJ Muthuswami,3,1,0,0,0,0,1,0,,7,5,140
,AD Mathews,2,3,0,0,0,0,1,0,,9,6,150
,A Mishra,3,5,1,0,0,0,0,0,bowled,7,9,77.77
,Imran Tahir,0,1,1,0,0,0,0,0,,3,2,150
,Yuvraj Singh,0,2,2,0,0,0,0,0,,6,4,150
,DA Miller
,A Mishra,0,1,0,0,0,0,0,0,,1,1,100
,Imran Tahir,0,1,0,0,0,0,0,0,,1,1,100
,JP Duminy,2,3,0,0,0,0,0,0,bowled,3,5,60
,GJ Maxwell
,Imran Tahir,1,1,1,0,0,0,2,0,caught,15,5,300
,GJ Bailey
,A Mishra,0,1,0,0,1,0,1,0,,11,3,366.66
,Imran Tahir,2,2,1,0,0,0,0,0,caught,4,5,80
,JP Duminy,0,2,1,0,0,0,0,0,,4,3,133.33
,AR Patel
,A Mishra,0,2,0,0,0,0,1,0,,8,3,266.66
,Imran Tahir,3,3,1,0,0,0,0,0,caught,5,7,71.42
,MA Agarwal
,Sandeep Sharma,4,2,1,0,1,0,0,0,,8,8,100
,Anureet Singh,6,2,1,0,3,0,0,0,bowled,16,12,133.33
,MG Johnson,1,6,0,0,2,0,1,0,,20,10,200
,R Dhawan,0,4,1,0,1,0,0,0,,10,6,166.66
,AR Patel,2,6,0,0,0,0,0,0,,6,8,75
,GJ Maxwell,1,2,0,0,0,0,1,0,,8,4,200
,SS Iyer
,Sandeep Sharma,3,0,1,0,1,0,0,0,caught,6,5,120
,JP Duminy
,Sandeep Sharma,1,2,1,0,1,0,0,0,,8,5,160
,Anureet Singh,3,1,0,0,1,0,0,0,,5,5,100
,MG Johnson,1,2,0,0,1,0,0,0,,6,4,150
,R Dhawan,2,2,0,0,0,0,0,0,,2,4,50
,AR Patel,1,0,0,0,0,0,0,0,,0,1,0
,Yuvraj Singh
,Sandeep Sharma,4,1,0,0,1,0,0,0,,5,6,83.33
,Anureet Singh,2,1,0,0,0,0,1,0,caught,7,4,175
,MG Johnson,4,3,0,0,3,0,0,0,,15,10,150
,R Dhawan,3,3,1,0,1,0,0,0,,9,8,112.5
,AR Patel,4,2,1,0,0,0,2,0,,16,9,177.77
,GJ Maxwell,0,2,0,0,0,0,0,0,,2,2,100
,AD Mathews
,Anureet Singh,0,1,0,0,0,0,0,0,,1,1,100
,AR Patel,1,1,0,0,1,0,0,0,,5,3,166.66
,KM Jadhav
,Anureet Singh,1,2,0,0,0,0,0,0,,2,3,66.66
,AR Patel,1,1,0,0,0,0,0,0,caught,1,2,50
,DA Warner
,TG Southee,1,2,0,0,0,0,1,0,,8,4,200
,CH Morris,3,0,0,0,3,0,0,0,,12,6,200
,DJ Hooda,1,0,0,0,0,0,0,0,,0,1,0
,DS Kulkarni,2,1,0,0,0,0,0,0,,1,3,33.33
,S Dhawan
,TG Southee,4,0,0,0,0,0,0,0,,0,4,0
,DJ Hooda,3,1,0,0,1,0,0,0,,5,5,100
,DS Kulkarni,1,1,0,0,1,0,0,0,caught,5,3,166.66
,KL Rahul
,TG Southee,3,0,1,0,0,0,0,0,,2,4,50
,DS Kulkarni,1,0,0,0,0,0,0,0,lbw,0,1,0
,NV Ojha
,TG Southee,2,1,1,0,0,0,0,0,,3,4,75
,CH Morris,4,1,0,0,1,0,0,0,,5,6,83.33
,DS Kulkarni,4,1,0,0,0,0,0,0,,1,5,20
,JP Faulkner,3,1,0,0,2,0,0,0,,9,6,150
,STR Binny,1,3,0,0,0,0,0,0,,3,4,75
,PV Tambe,5,0,2,0,0,0,0,0,bowled,4,7,57.14
,EJG Morgan
,TG Southee,0,1,0,0,1,0,0,0,,5,2,250
,DJ Hooda,2,1,0,0,0,0,0,0,,1,3,33.33
,DS Kulkarni,5,1,0,0,0,0,0,0,,1,6,16.66
,JP Faulkner,3,3,0,0,0,0,1,0,,9,7,128.57
,STR Binny,3,3,1,0,1,0,0,0,,9,8,112.5
,PV Tambe,3,0,1,0,0,0,0,0,lbw,2,4,50
,RS Bopara
,TG Southee,0,2,0,0,0,0,0,0,,2,2,100
,CH Morris,3,1,0,0,1,0,0,0,,5,5,100
,DJ Hooda,0,2,1,0,0,0,0,0,,4,3,133.33
,PV Tambe,3,4,1,0,0,0,1,0,,12,9,133.33
,A Ashish Reddy
,TG Southee,1,1,1,0,0,0,1,0,,9,4,225
,CH Morris,0,1,0,0,0,0,0,0,,1,1,100
,PV Tambe,1,3,0,0,0,0,0,0,,3,4,75
,AM Rahane
,B Kumar,5,4,1,0,3,0,0,0,,18,13,138.46
,TA Boult,7,2,1,0,3,0,0,0,bowled,16,13,123.07
,P Kumar,1,3,0,0,0,0,0,0,,3,4,75
,KV Sharma,4,4,2,0,1,0,0,0,,12,11,109.09
,RS Bopara,7,4,0,0,2,0,0,0,,12,13,92.3
,A Ashish Reddy,1,1,0,0,0,0,0,0,,1,2,50
,SV Samson
,B Kumar,5,3,1,0,0,0,0,0,,5,9,55.55
,TA Boult,2,1,0,0,0,0,0,0,,1,3,33.33
,P Kumar,6,2,4,0,2,0,0,0,,18,14,128.57
,KV Sharma,1,2,0,0,0,0,0,0,,2,3,66.66
,RS Bopara,1,0,0,0,0,0,0,0,caught,0,1,0
,SPD Smith
,TA Boult,1,2,0,0,1,0,0,0,,6,4,150
,KV Sharma,1,0,0,0,1,0,0,0,caught,4,2,200
,RS Bopara,1,3,0,0,0,0,0,0,,3,4,75
,KK Nair
,KV Sharma,1,1,0,0,0,0,0,0,,1,2,50
,RS Bopara,3,0,0,0,0,0,0,0,caught,0,3,0
,STR Binny
,B Kumar,0,2,0,0,0,0,0,0,,2,2,100
,TA Boult,1,1,0,0,1,0,0,0,,5,3,166.66
,P Kumar,0,2,0,0,0,0,0,0,,2,2,100
,RS Bopara,0,3,0,0,0,0,0,0,,3,3,100
,A Ashish Reddy,1,2,1,0,0,0,0,0,,4,4,100
,JP Faulkner
,TA Boult,0,1,0,0,0,0,0,0,,1,1,100
,P Kumar,2,1,0,0,1,0,0,0,,5,4,125
,LMP Simmons
,A Nehra,2,1,0,0,0,0,0,0,,1,3,33.33
,IC Pandey,9,0,0,0,1,0,0,0,caught,4,10,40
,PA Patel
,A Nehra,1,0,0,0,0,0,0,0,lbw,0,1,0
,CJ Anderson
,A Nehra,6,0,0,0,1,0,0,0,caught,4,7,57.14
,RG Sharma
,A Nehra,4,2,4,0,1,0,0,0,caught,14,11,127.27
,MM Sharma,1,4,0,0,3,0,0,0,,16,8,200
,RA Jadeja,1,5,0,0,0,0,0,0,,5,6,83.33
,R Ashwin,0,1,1,0,0,0,1,0,,9,3,300
,DJ Bravo,0,2,0,0,1,0,0,0,,6,3,200
,Harbhajan Singh
,IC Pandey,2,0,0,0,0,0,0,0,,0,2,0
,MM Sharma,4,2,3,0,1,0,0,0,caught,12,10,120
,RA Jadeja,5,2,0,0,1,0,1,0,,12,9,133.33
,KA Pollard
,A Nehra,0,1,1,0,0,0,0,0,,3,2,150
,IC Pandey,0,0,1,0,1,0,0,0,,6,2,300
,MM Sharma,0,1,0,0,0,0,0,0,,1,1,100
,RA Jadeja,2,2,0,0,1,0,4,0,,30,9,333.33
,R Ashwin,2,0,0,0,1,0,0,0,,4,3,133.33
,DJ Bravo,3,6,2,0,1,0,1,0,caught,20,13,153.84
,AT Rayudu
,IC Pandey,1,1,0,0,1,0,1,0,,11,4,275
,MM Sharma,1,2,0,0,0,0,2,0,,14,5,280
,DJ Bravo,3,4,0,0,0,0,0,0,caught,4,7,57.14
,R Vinay Kumar
,DJ Bravo,1,0,0,0,0,0,0,0,,0,1,0
,DR Smith
,P Suyal,4,3,0,0,2,0,0,0,,11,9,122.22
,SL Malinga,2,0,1,0,2,0,0,0,,10,5,200
,J Suchith,4,0,0,0,3,0,3,0,,30,10,300
,Harbhajan Singh,3,1,0,0,1,0,1,0,caught,11,6,183.33
,BB McCullum
,P Suyal,0,3,0,0,0,0,1,0,,9,4,225
,SL Malinga,2,2,0,0,3,0,1,0,,20,8,250
,J Suchith,0,2,0,0,0,0,0,0,,2,2,100
,Harbhajan Singh,1,1,1,0,3,0,0,0,caught,15,6,250
,SK Raina
,P Suyal,1,2,1,0,0,0,0,0,,4,4,100
,SL Malinga,0,4,0,0,0,0,0,0,,4,4,100
,Harbhajan Singh,4,3,0,0,1,0,1,0,,13,9,144.44
,R Vinay Kumar,2,2,0,0,1,0,1,0,,12,6,200
,KA Pollard,2,2,0,0,2,0,0,0,,10,6,166.66
,F du Plessis
,SL Malinga,4,1,0,0,0,0,0,0,bowled,1,5,20
,Harbhajan Singh,1,1,0,0,1,0,0,0,,5,3,166.66
,R Vinay Kumar,3,1,0,0,1,0,0,0,,5,5,100
,MS Dhoni
,SL Malinga,2,1,0,0,0,0,0,0,,1,3,33.33
,R Vinay Kumar,0,1,0,0,0,0,0,0,,1,1,100
,KA Pollard,1,1,0,0,0,0,0,0,caught,1,2,50
,DJ Bravo
,P Suyal,1,1,0,0,0,0,0,0,,1,2,50
,KA Pollard,0,0,1,0,1,0,1,0,,12,3,400
,MA Agarwal
,P Kumar,1,1,0,0,0,0,0,0,,1,2,50
,B Kumar,1,0,0,0,0,0,0,0,caught,0,1,0
,SS Iyer
,P Kumar,7,2,0,0,2,0,1,0,caught,16,12,133.33
,DW Steyn,4,1,2,0,1,0,0,0,,9,8,112.5
,B Kumar,1,1,0,0,0,0,0,0,,1,2,50
,RS Bopara,2,4,0,0,0,0,0,0,,4,6,66.66
,KV Sharma,2,3,0,0,0,0,3,0,,21,8,262.5
,A Ashish Reddy,1,1,1,0,0,0,1,0,,9,4,225
,JP Duminy
,P Kumar,1,2,0,0,0,0,0,0,,2,3,66.66
,DW Steyn,4,3,0,0,1,0,1,0,bowled,13,9,144.44
,B Kumar,7,0,2,0,0,0,0,0,,4,9,44.44
,RS Bopara,3,5,1,0,4,0,1,0,,29,14,207.14
,KV Sharma,0,4,0,0,0,0,0,0,,4,4,100
,A Ashish Reddy,0,2,0,0,0,0,0,0,,2,2,100
,Yuvraj Singh
,P Kumar,0,1,0,0,0,0,0,0,,1,1,100
,DW Steyn,3,3,1,0,0,0,0,0,,5,7,71.42
,RS Bopara,1,3,0,0,0,0,0,0,,3,4,75
,A Ashish Reddy,1,0,0,0,0,0,0,0,caught,0,1,0
,AD Mathews
,P Kumar,0,2,0,0,0,0,1,0,,8,3,266.66
,B Kumar,1,5,0,0,0,0,0,0,,5,6,83.33
,A Ashish Reddy,0,2,0,0,0,0,0,0,,2,2,100
,KM Jadhav
,P Kumar,0,2,0,0,0,0,1,0,,8,3,266.66
,B Kumar,0,4,1,0,1,0,0,0,,10,6,166.66
,A Ashish Reddy,2,1,0,0,0,0,0,0,,1,3,33.33
,DA Warner
,NM Coulter-Nile,3,2,2,0,0,0,0,0,,6,7,85.71
,JP Duminy,3,2,0,0,0,0,0,0,caught,2,5,40
,DJ Muthuswami,2,0,2,0,4,0,0,0,,20,8,250
,S Dhawan
,NM Coulter-Nile,2,2,1,0,0,0,0,0,,4,5,80
,JP Duminy,1,2,0,0,0,0,0,0,bowled,2,3,66.66
,DJ Muthuswami,4,0,0,0,0,0,0,0,,0,4,0
,AD Mathews,3,0,0,0,3,0,0,0,,12,6,200
,RS Bopara
,NM Coulter-Nile,3,0,0,0,1,0,1,0,,10,5,200
,JP Duminy,1,3,0,0,0,0,1,0,caught,9,5,180
,AD Mathews,1,2,0,0,0,0,0,0,,2,3,66.66
,Imran Tahir,2,5,0,1,0,0,1,0,,14,9,155.55
,A Mishra,2,4,0,0,0,0,0,0,,4,6,66.66
,Yuvraj Singh,0,2,0,0,0,0,0,0,,2,2,100
,KL Rahul
,JP Duminy,1,1,0,0,0,0,0,0,,1,2,50
,AD Mathews,2,0,1,0,0,0,0,0,bowled,2,3,66.66
,Imran Tahir,3,3,0,0,0,0,0,0,,3,6,50
,A Mishra,1,4,0,0,0,0,1,0,,10,6,166.66
,Yuvraj Singh,1,2,0,0,0,0,1,0,,8,4,200
,NV Ojha
,NM Coulter-Nile,0,1,0,0,0,0,0,0,,1,1,100
,AD Mathews,1,3,1,0,1,0,0,0,,9,6,150
,Imran Tahir,1,2,0,0,0,0,0,0,caught,2,3,66.66
,EJG Morgan
,JP Duminy,1,1,0,0,0,0,0,0,bowled,1,2,50
,A Ashish Reddy
,NM Coulter-Nile,1,0,0,0,0,0,0,0,,0,1,0
,JP Duminy,0,1,0,0,0,0,0,0,,1,1,100
,AD Mathews,1,0,1,0,1,0,1,0,,12,4,300
,Imran Tahir,0,2,0,0,0,0,0,0,,2,2,100
,KV Sharma
,NM Coulter-Nile,1,2,1,0,0,0,0,0,caught,4,4,100
,AD Mathews,1,1,0,0,0,0,0,0,,1,2,50
,Imran Tahir,0,2,0,0,0,0,2,0,,14,4,350
,P Kumar
,NM Coulter-Nile,0,1,0,0,0,0,0,0,,1,1,100
,M Vijay
,UT Yadav,4,0,0,0,0,0,0,0,caught,0,4,0
,V Sehwag
,M Morkel,4,3,0,0,1,0,0,0,,7,8,87.5
,AD Russell,1,0,0,0,1,0,0,0,caught,4,2,200
,WP Saha
,UT Yadav,4,0,2,0,1,0,1,0,,14,8,175
,M Morkel,2,1,0,0,0,0,0,0,caught,1,3,33.33
,GJ Maxwell
,UT Yadav,1,1,0,0,0,0,0,0,caught,1,2,50
,M Morkel,1,1,0,0,1,0,1,0,,11,4,275
,AD Russell,2,3,1,0,0,0,1,0,,11,7,157.14
,SP Narine,7,2,0,0,1,0,0,0,,6,10,60
,PP Chawla,0,2,1,0,0,0,0,0,,4,3,133.33
,GJ Bailey
,UT Yadav,0,3,0,0,3,0,0,0,,15,6,250
,M Morkel,4,1,0,0,0,0,1,0,,7,6,116.66
,AD Russell,2,5,1,0,2,0,0,0,,15,10,150
,SP Narine,2,5,2,0,0,0,0,0,,9,9,100
,PP Chawla,5,8,0,0,0,0,1,0,,14,14,100
,NLTC Perera
,UT Yadav,1,0,0,0,0,0,0,0,,0,1,0
,AD Russell,3,1,0,0,0,0,1,0,caught,7,5,140
,PP Chawla,0,2,0,0,0,0,0,0,,2,2,100
,Gurkeerat Singh
,UT Yadav,1,1,0,0,0,0,0,0,caught,1,2,50
,SP Narine,2,1,0,0,0,0,0,0,,1,3,33.33
,PP Chawla,1,3,0,0,0,0,1,0,,9,5,180
,AR Patel
,UT Yadav,0,1,0,0,0,0,0,0,,1,1,100
,SP Narine,1,1,0,0,0,0,0,0,caught,1,2,50
,MG Johnson
,M Morkel,1,1,0,0,0,0,0,0,caught,1,2,50
,Anureet Singh
,M Morkel,1,0,0,0,0,0,0,0,,0,1,0
,RV Uthappa
,Sandeep Sharma,4,1,1,0,1,0,0,0,lbw,7,7,100
,Anureet Singh,0,2,0,0,1,0,0,0,,6,3,200
,G Gambhir
,Sandeep Sharma,6,1,1,0,0,0,0,0,caught,3,8,37.5
,Anureet Singh,5,1,0,0,1,0,0,0,,5,7,71.42
,MG Johnson,1,1,0,0,0,0,0,0,,1,2,50
,NLTC Perera,0,2,0,0,0,0,0,0,,2,2,100
,MK Pandey
,Sandeep Sharma,1,0,0,1,2,0,0,0,caught,11,4,275
,Anureet Singh,1,1,0,0,0,0,0,0,,1,2,50
,SA Yadav
,Sandeep Sharma,2,0,0,0,1,0,0,0,,4,3,133.33
,MG Johnson,1,0,1,0,0,0,2,0,,14,4,350
,NLTC Perera,1,1,0,0,1,0,0,0,caught,5,3,166.66
,YK Pathan
,Anureet Singh,1,3,0,0,3,0,0,0,,15,7,214.28
,MG Johnson,2,4,0,0,1,0,0,0,,8,7,114.28
,NLTC Perera,2,4,0,0,0,0,0,0,,4,6,66.66
,AR Patel,3,1,0,0,0,0,0,0,,1,4,25
,RN ten Doeschate
,Sandeep Sharma,1,0,0,0,0,0,0,0,lbw,0,1,0
,AD Russell
,Sandeep Sharma,1,0,0,0,0,0,0,0,,0,1,0
,Anureet Singh,0,2,2,0,1,0,0,0,,10,5,200
,MG Johnson,4,2,0,0,3,0,0,0,bowled,14,9,155.55
,NLTC Perera,6,3,0,0,3,0,1,0,,21,13,161.53
,AR Patel,1,1,3,0,2,0,1,0,,21,8,262.5
,PP Chawla
,MG Johnson,0,0,0,0,1,0,0,0,,4,1,400
,DR Smith
,Ankit Sharma,1,2,2,0,1,0,1,0,,16,7,228.57
,CH Morris,7,0,1,0,0,0,0,0,,2,8,25
,PV Tambe,0,2,1,0,0,0,0,0,,4,3,133.33
,DJ Hooda,0,2,0,0,2,0,0,0,,10,4,250
,JP Faulkner,5,0,1,0,0,0,1,0,bowled,8,7,114.28
,BB McCullum
,Ankit Sharma,3,0,0,0,2,0,0,0,,8,5,160
,PV Tambe,1,0,0,0,1,0,0,0,caught,4,2,200
,SK Raina
,CH Morris,2,0,1,0,0,0,0,0,caught,2,3,66.66
,PV Tambe,2,1,0,0,0,0,0,0,,1,3,33.33
,DJ Hooda,1,1,0,0,0,0,0,0,,1,2,50
,F du Plessis
,Ankit Sharma,2,0,0,0,0,0,0,0,caught,0,2,0
,CH Morris,0,1,0,0,0,0,0,0,,1,1,100
,DJ Bravo
,Ankit Sharma,2,2,0,0,0,0,0,0,,2,4,50
,CH Morris,1,3,0,0,1,0,0,0,,7,5,140
,PV Tambe,1,6,0,0,3,0,1,0,,24,11,218.18
,DJ Hooda,0,1,1,0,1,0,0,0,,7,3,233.33
,JP Faulkner,3,2,2,1,0,0,0,0,,9,8,112.5
,SR Watson,1,1,0,0,3,0,0,0,,13,5,260
,MS Dhoni
,CH Morris,4,1,1,0,1,0,0,0,,7,7,100
,PV Tambe,2,3,0,0,0,0,0,0,,3,5,60
,DJ Hooda,1,2,0,0,0,0,0,0,,2,3,66.66
,JP Faulkner,4,4,0,0,1,0,0,0,,8,9,88.88
,STR Binny,4,1,0,0,1,0,0,0,,5,6,83.33
,SR Watson,4,2,0,0,1,0,0,0,,6,7,85.71
,AM Rahane
,IC Pandey,4,3,0,0,1,0,0,0,,7,8,87.5
,A Nehra,3,7,1,0,3,0,0,0,,21,14,150
,MM Sharma,3,4,3,0,0,0,1,0,,16,11,145.45
,RA Jadeja,2,6,1,0,0,0,0,0,,8,9,88.88
,R Ashwin,0,5,1,0,1,0,0,0,,11,7,157.14
,DJ Bravo,1,3,0,0,1,0,1,0,,13,6,216.66
,SR Watson
,IC Pandey,2,1,0,0,1,0,0,0,,5,4,125
,A Nehra,4,4,1,0,1,0,0,0,,10,10,100
,MM Sharma,4,3,1,0,2,0,0,0,,13,10,130
,RA Jadeja,4,5,1,0,0,0,2,0,bowled,19,12,158.33
,R Ashwin,0,4,0,0,0,0,1,0,,10,5,200
,DJ Bravo,1,2,0,0,2,0,1,0,,16,6,266.66
,SPD Smith
,MM Sharma,0,2,1,0,0,0,0,0,,4,3,133.33
,RA Jadeja,1,2,0,0,0,0,0,0,,2,3,66.66
,DJ Bravo,1,0,0,0,0,0,0,0,caught,0,1,0
,KK Nair
,DJ Bravo,0,1,0,0,0,0,0,0,,1,1,100
,LMP Simmons
,Iqbal Abdulla,7,4,1,0,0,0,1,0,,12,13,92.3
,VR Aaron,10,0,0,0,6,0,1,0,,30,17,176.47
,AN Ahmed,1,1,0,0,2,0,0,0,,9,4,225
,D Wiese,3,2,0,0,0,0,0,0,,2,5,40
,YS Chahal,2,2,0,0,1,0,0,0,caught,6,5,120
,PA Patel
,Iqbal Abdulla,0,1,0,0,0,0,0,0,,1,1,100
,VR Aaron,0,1,0,0,0,0,0,0,,1,1,100
,AN Ahmed,4,2,0,0,2,0,0,0,,10,8,125
,D Wiese,3,0,0,0,0,0,0,0,bowled,0,3,0
,UBT Chand
,Iqbal Abdulla,3,3,1,0,2,0,1,0,,19,10,190
,VR Aaron,1,0,0,0,0,0,0,0,,0,1,0
,AN Ahmed,0,1,0,0,0,0,0,0,,1,1,100
,D Wiese,1,4,0,0,4,0,0,0,,20,9,222.22
,YS Chahal,9,4,0,0,2,0,1,0,caught,18,16,112.5
,RG Sharma
,VR Aaron,2,0,1,0,1,0,1,0,,12,5,240
,AN Ahmed,0,1,0,0,1,0,3,0,,23,5,460
,D Wiese,1,1,0,0,1,0,0,0,caught,5,3,166.66
,YS Chahal,0,2,0,0,0,0,0,0,,2,2,100
,KA Pollard
,D Wiese,1,0,0,0,1,0,0,0,caught,4,2,200
,YS Chahal,0,1,0,0,0,0,0,0,,1,1,100
,AT Rayudu
,D Wiese,1,0,0,0,0,0,0,0,caught,0,1,0
,Harbhajan Singh
,AN Ahmed,1,0,0,0,0,0,0,0,,0,1,0
,HH Pandya
,AN Ahmed,1,1,1,0,0,0,2,0,,15,5,300
,D Wiese,0,1,0,0,0,0,0,0,,1,1,100
,CH Gayle
,MJ McClenaghan,5,1,0,0,0,0,0,0,,1,6,16.66
,SL Malinga,7,2,0,0,0,0,0,0,,2,9,22.22
,Harbhajan Singh,2,2,0,0,0,0,0,0,bowled,2,4,50
,JJ Bumrah,1,3,1,0,0,0,0,0,,5,5,100
,MS Bisla
,MJ McClenaghan,5,0,0,0,2,0,0,0,,8,7,114.28
,SL Malinga,1,2,0,0,0,0,0,0,,2,3,66.66
,Harbhajan Singh,4,0,0,0,1,0,1,0,bowled,10,6,166.66
,V Kohli
,MJ McClenaghan,2,0,0,0,0,0,0,0,caught,0,2,0
,Harbhajan Singh,3,3,0,0,0,0,1,0,,9,7,128.57
,JJ Bumrah,3,2,1,0,1,0,0,0,,8,7,114.28
,HH Pandya,1,1,0,0,0,0,0,0,,1,2,50
,KD Karthik
,MJ McClenaghan,0,1,0,0,0,0,0,0,,1,1,100
,SL Malinga,1,0,0,0,0,0,0,0,caught,0,1,0
,Harbhajan Singh,0,1,0,0,0,0,0,0,,1,1,100
,HH Pandya,2,2,2,0,1,0,1,0,,16,8,200
,AB de Villiers
,MJ McClenaghan,0,0,0,0,2,0,1,0,,14,3,466.66
,SL Malinga,0,0,1,0,2,0,2,0,,22,5,440
,JJ Bumrah,1,0,0,0,0,0,0,0,caught,0,1,0
,HH Pandya,0,1,0,0,1,0,0,0,,5,2,250
,RR Rossouw
,Harbhajan Singh,1,0,0,0,0,0,0,0,bowled,0,1,0
,D Wiese
,MJ McClenaghan,1,1,0,0,3,0,0,0,,13,5,260
,SL Malinga,2,1,0,0,0,0,0,0,,1,3,33.33
,Harbhajan Singh,3,1,0,0,1,0,0,0,,5,5,100
,JJ Bumrah,0,2,0,0,0,0,1,0,,8,3,266.66
,HH Pandya,0,2,0,0,1,0,1,0,,12,4,300
,KA Pollard,1,2,1,0,1,0,0,0,,8,5,160
,Iqbal Abdulla
,MJ McClenaghan,1,1,0,0,0,0,0,0,,1,2,50
,SL Malinga,1,1,0,0,1,0,0,0,,5,3,166.66
,JJ Bumrah,4,1,0,0,3,0,0,0,,13,8,162.5
,HH Pandya,1,1,0,0,0,0,0,0,,1,2,50
,AN Ahmed
,KA Pollard,0,1,0,0,0,0,0,0,,1,1,100
,MA Agarwal
,UT Yadav,5,1,0,0,0,0,0,0,,1,6,16.66
,M Morkel,2,0,0,0,0,0,0,0,caught,0,2,0
,SS Iyer
,UT Yadav,1,2,0,0,0,0,0,0,,2,3,66.66
,M Morkel,4,1,1,0,2,0,0,0,,11,8,137.5
,AD Russell,3,3,0,0,1,0,1,0,,13,8,162.5
,PP Chawla,1,3,1,0,0,0,0,0,bowled,5,5,100
,JP Duminy
,UT Yadav,1,1,0,0,1,0,0,0,,5,3,166.66
,M Morkel,2,0,0,0,0,0,0,0,,0,2,0
,SP Narine,3,0,0,0,0,0,0,0,bowled,0,3,0
,MK Tiwary
,M Morkel,4,1,0,0,2,0,0,0,caught,9,7,128.57
,SP Narine,3,2,0,0,1,0,0,0,,6,6,100
