Abdul Shakoor,2015-2015,4,0,0,0,0,0,0,0,0,0,0,0,0
Adnan Ilyas,2015-2016,12,0,0,0,0,0,0,0,0,0,0,0,0
Afsar Zazai,2013-2013,1,0,0,0,0,0,0,0,0,0,0,0,0
RI Ahmed,2015-2015,2,0,0,0,0,0,0,0,0,0,0,0,0
PS Airee,2015-2015,7,0,0,0,0,0,0,0,0,0,0,0,0
TR Ambrose,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0,0
Amjad Ali,2014-2015,5,0,0,0,0,0,0,0,0,0,0,0,0
Amjad Gul,2015-2015,1,0,0,0,0,0,0,0,0,0,0,0,0
HM Amla,2009-2016,37,0,0,0,0,0,0,0,0,0,0,0,0
Anamul Haque,2012-2015,13,0,0,0,0,0,0,0,0,0,0,0,0
Anas Khan,2014-2014,1,0,0,0,0,0,0,0,0,0,0,0,0
RP Arnold,2006-2006,1,0,0,0,0,0,0,0,0,0,0,0,0
Asad Shafiq,2010-2012,10,0,0,0,0,0,0,0,0,0,0,0,0
MS Atapattu,2006-2006,2,0,0,0,0,0,0,0,0,0,0,0,0
JJ Atkinson,2014-2016,13,0,0,0,0,0,0,0,0,0,0,0,0
Awais Zia,2012-2014,5,0,0,0,0,0,0,0,0,0,0,0,0
Babar Azam,2016-2016,4,0,0,0,0,0,0,0,0,0,0,0,0
Babar Hayat,2014-2016,21,0,0,0,0,0,0,0,0,0,0,0,0
S Badrinath,2011-2011,1,0,0,0,0,0,0,0,0,0,0,0,0
A Bagai,2008-2013,9,0,0,0,0,0,0,0,0,0,0,0,0
GJ Bailey,2012-2016,29,0,0,0,0,0,0,0,0,0,0,0,0
JM Bairstow,2011-2016,20,0,0,0,0,0,0,0,0,0,0,0,0
A Balbirnie,2015-2016,10,0,0,0,0,0,0,0,0,0,0,0,0
CT Bancroft,2016-2016,1,0,0,0,0,0,0,0,0,0,0,0,0
AB Barath,2010-2011,2,0,0,0,0,0,0,0,0,0,0,0,0
W Barresi,2012-2016,32,0,0,0,0,0,0,0,0,0,0,0,0
MC Bascombe,2011-2011,1,0,0,0,0,0,0,0,0,0,0,0,0
OO Bascome,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0,0
TC Bastiampillai,2010-2010,2,0,0,0,0,0,0,0,0,0,0,0,0
CS Baugh,2008-2012,3,0,0,0,0,0,0,0,0,0,0,0,0
IR Bell,2006-2014,8,0,0,0,0,0,0,0,0,0,0,0,0
B Bhandari,2014-2015,10,0,0,0,0,0,0,0,0,0,0,0,0
RA Bhatti,2012-2012,4,0,0,0,0,0,0,0,0,0,0,0,0
IS Billcliff,2010-2010,2,0,0,0,0,0,0,0,0,0,0,0,0
SW Billings,2015-2016,7,0,0,0,0,0,0,0,0,0,0,0,0
TR Birt,2010-2012,4,0,0,0,0,0,0,0,0,0,0,0,0
AM Blignaut,2010-2010,1,0,0,0,0,0,0,0,0,0,0,0,0
GH Bodi,2007-2007,1,0,0,0,0,0,0,0,0,0,0,0,0
LE Bosman,2006-2010,14,0,0,0,0,0,0,0,0,0,0,0,0
MV Boucher,2005-2010,25,0,0,0,0,0,0,0,0,0,0,0,0
DM Bravo,2010-2014,12,0,0,0,0,0,0,0,0,0,0,0,0
JP Bray,2009-2009,2,0,0,0,0,0,0,0,0,0,0,0,0
NT Broom,2009-2013,10,0,0,0,0,0,0,0,0,0,0,0,0
DG Brownlie,2010-2014,5,0,0,0,0,0,0,0,0,0,0,0,0
