Batsman,Bowler,Zeroes,Ones,Twos,Threes,Fours,Fives,Sixes,Sevens,Dismissed,Runs,Balls,SR
GJ Maxwell,DS Kulkarni,0,1,0,0,1,0,0,0,0,5,2,250
GJ Maxwell,JP Faulkner,2,0,1,0,0,0,0,0,1,2,3,66.66
AR Patel,TG Southee,2,0,0,0,0,0,0,0,1,0,2,0
AR Patel,CH Morris,1,3,0,0,0,0,0,0,0,3,4,75
AR Patel,DS Kulkarni,0,1,0,0,1,0,0,0,0,5,2,250
AR Patel,JP Faulkner,4,3,0,0,0,0,0,0,0,3,7,42.85
AR Patel,PV Tambe,2,5,1,0,1,0,0,0,0,11,9,122.22
AR Patel,STR Binny,2,2,0,0,0,0,0,0,0,2,4,50
DA Miller,TG Southee,3,1,0,0,1,0,1,0,0,11,6,183.33
DA Miller,CH Morris,4,0,0,0,0,0,0,0,0,0,4,0
DA Miller,DS Kulkarni,1,0,0,0,0,0,0,0,1,0,1,0
DA Miller,PV Tambe,1,2,0,0,0,0,0,0,0,2,3,66.66
DA Miller,STR Binny,4,0,1,0,2,0,0,0,0,10,7,142.85
GJ Bailey,TG Southee,0,1,0,0,0,0,0,0,0,1,1,100
GJ Bailey,CH Morris,2,1,1,0,0,0,0,0,0,3,4,75
GJ Bailey,DS Kulkarni,2,0,0,0,1,0,0,0,0,4,3,133.33
GJ Bailey,JP Faulkner,1,3,1,0,1,0,1,0,1,15,7,214.28
GJ Bailey,PV Tambe,2,1,0,0,0,0,0,0,0,1,3,33.33
MG Johnson,TG Southee,3,0,0,0,0,0,0,0,0,0,3,0
MG Johnson,JP Faulkner,1,0,0,0,0,0,0,0,1,0,1,0
Anureet Singh,CH Morris,2,0,0,0,0,0,0,0,0,0,2,0
Anureet Singh,JP Faulkner,1,0,0,0,0,0,0,0,0,0,1,0
Karanveer Singh,CH Morris,2,1,0,0,1,0,0,0,0,5,4,125
DR Smith,B Kumar,7,0,0,0,1,0,0,0,0,4,8,50
DR Smith,TA Boult,3,1,0,0,1,0,0,0,0,5,5,100
DR Smith,I Sharma,5,1,0,0,2,0,0,0,0,9,8,112.5
DR Smith,KV Sharma,1,3,0,0,0,0,1,0,0,9,5,180
BB McCullum,B Kumar,4,2,0,0,0,0,1,0,0,8,7,114.28
BB McCullum,TA Boult,3,3,0,0,3,0,1,0,0,21,10,210
BB McCullum,I Sharma,4,2,1,0,2,0,3,0,0,30,12,250
BB McCullum,KV Sharma,6,4,0,0,0,0,3,0,0,22,13,169.23
BB McCullum,RS Bopara,3,5,0,0,1,0,0,0,0,9,9,100
BB McCullum,Parvez Rasool,3,0,0,0,1,0,1,0,0,10,5,200
SK Raina,B Kumar,1,2,0,0,1,0,0,0,0,6,4,150
SK Raina,I Sharma,0,1,1,0,0,0,0,0,0,3,2,150
SK Raina,KV Sharma,0,1,0,0,0,0,0,0,0,1,1,100
SK Raina,RS Bopara,1,3,0,0,0,0,0,0,0,3,4,75
SK Raina,Parvez Rasool,0,1,0,0,0,0,0,0,0,1,1,100
MS Dhoni,B Kumar,1,2,1,0,0,0,1,0,0,10,5,200
MS Dhoni,TA Boult,5,1,1,0,1,0,0,0,1,7,8,87.5
MS Dhoni,KV Sharma,1,1,0,0,0,0,3,0,0,19,5,380
MS Dhoni,RS Bopara,3,5,0,0,3,0,0,0,0,17,11,154.54
RA Jadeja,TA Boult,1,0,0,0,0,0,0,0,0,0,1,0
DA Warner,A Nehra,0,4,0,0,0,0,0,0,0,4,4,100
DA Warner,MM Sharma,1,3,1,0,0,0,1,0,0,11,6,183.33
DA Warner,IC Pandey,6,2,0,0,1,0,2,0,1,18,11,163.63
DA Warner,R Ashwin,4,7,1,0,0,0,0,0,0,9,12,75
DA Warner,DJ Bravo,2,3,4,0,0,0,0,0,0,11,9,122.22
S Dhawan,A Nehra,2,4,0,0,3,0,0,0,0,16,9,177.77
S Dhawan,MM Sharma,5,2,0,0,2,0,0,0,1,10,9,111.11
KL Rahul,A Nehra,4,0,0,0,1,0,0,0,0,4,5,80
KL Rahul,MM Sharma,2,1,0,0,0,0,0,0,1,1,3,33.33
NV Ojha,IC Pandey,0,1,0,0,0,0,0,0,0,1,1,100
NV Ojha,R Ashwin,2,3,1,0,0,0,1,0,1,11,7,157.14
NV Ojha,DJ Bravo,1,1,1,0,0,0,0,0,0,3,3,100
RS Bopara,IC Pandey,1,2,2,0,0,0,0,0,0,6,5,120
RS Bopara,R Ashwin,3,2,0,0,0,0,0,0,0,2,5,40
RS Bopara,DJ Bravo,1,1,0,0,0,0,0,0,1,1,2,50
RS Bopara,RA Jadeja,0,1,0,0,0,0,2,0,0,13,3,433.33
KS Williamson,A Nehra,1,2,1,0,0,0,0,0,0,4,4,100
KS Williamson,MM Sharma,0,2,0,0,1,0,1,0,0,12,4,300
KS Williamson,IC Pandey,0,1,0,0,0,0,0,0,0,1,1,100
KS Williamson,DJ Bravo,1,5,0,0,0,0,0,0,0,5,6,83.33
KS Williamson,RA Jadeja,0,2,1,0,0,0,0,0,0,4,3,133.33
KV Sharma,A Nehra,1,1,0,0,0,0,0,0,0,1,2,50
KV Sharma,DJ Bravo,1,3,0,0,0,0,0,0,1,3,4,75
Parvez Rasool,MM Sharma,0,2,0,0,0,0,0,0,0,2,2,100
RV Uthappa,SA Abbott,1,3,1,0,1,0,0,0,0,9,6,150
RV Uthappa,HV Patel,1,2,0,0,3,0,0,0,0,14,6,233.33
RV Uthappa,VR Aaron,1,2,0,0,0,0,0,0,0,2,3,66.66
RV Uthappa,AN Ahmed,3,5,1,0,0,0,0,0,1,7,9,77.77
RV Uthappa,DJG Sammy,1,1,0,0,0,0,0,0,0,1,2,50
RV Uthappa,YS Chahal,0,2,0,0,0,0,0,0,0,2,2,100
G Gambhir,SA Abbott,1,3,0,0,1,0,1,0,0,13,6,216.66
G Gambhir,HV Patel,3,3,0,0,0,0,0,0,0,3,6,50
G Gambhir,VR Aaron,7,2,1,0,3,0,0,0,0,16,13,123.07
G Gambhir,AN Ahmed,2,5,0,0,1,0,0,0,0,9,8,112.5
G Gambhir,DJG Sammy,1,2,0,0,1,0,0,0,0,6,4,150
G Gambhir,YS Chahal,3,3,2,0,1,0,0,0,1,11,9,122.22
MK Pandey,SA Abbott,0,1,0,0,2,0,0,0,0,9,3,300
MK Pandey,HV Patel,1,0,0,0,0,0,0,0,0,0,1,0
MK Pandey,VR Aaron,0,1,0,0,1,0,0,0,0,5,2,250
MK Pandey,AN Ahmed,1,0,0,0,0,0,0,0,0,0,1,0
MK Pandey,YS Chahal,3,3,1,0,1,0,0,0,0,9,8,112.5
SA Yadav,SA Abbott,1,1,0,0,1,0,0,0,0,5,3,166.66
SA Yadav,HV Patel,1,0,0,0,0,0,0,0,1,0,1,0
SA Yadav,YS Chahal,2,2,0,0,1,0,0,0,0,6,5,120
YK Pathan,HV Patel,0,2,0,0,0,0,0,0,0,2,2,100
YK Pathan,VR Aaron,1,0,0,0,0,0,0,0,1,0,1,0
YK Pathan,AN Ahmed,0,1,0,0,0,0,0,0,0,1,1,100
AD Russell,HV Patel,3,1,1,0,2,0,1,0,0,17,8,212.5
AD Russell,VR Aaron,0,1,0,0,3,0,0,0,0,13,4,325
AD Russell,AN Ahmed,2,1,0,0,1,0,1,0,0,11,5,220
Shakib Al Hasan,VR Aaron,1,0,0,0,0,0,0,0,0,0,1,0
CH Gayle,M Morkel,2,3,0,0,2,0,1,0,0,17,8,212.5
CH Gayle,SP Narine,8,5,1,0,2,0,0,0,0,15,16,93.75
CH Gayle,KC Cariappa,2,2,0,0,1,0,1,0,0,12,6,200
CH Gayle,AD Russell,0,2,0,0,1,0,0,0,0,6,3,200
CH Gayle,YK Pathan,2,7,0,0,1,0,2,0,0,23,12,191.66
CH Gayle,PP Chawla,1,2,0,0,0,0,1,0,0,8,4,200
CH Gayle,Shakib Al Hasan,2,3,0,0,0,0,2,0,0,15,7,214.28
V Kohli,M Morkel,8,1,0,1,0,0,1,0,1,10,11,90.9
V Kohli,SP Narine,1,3,0,0,0,0,0,0,0,3,4,75
KD Karthik,M Morkel,1,0,0,0,0,0,0,0,0,0,1,0
KD Karthik,KC Cariappa,0,1,0,0,0,0,0,0,0,1,1,100
KD Karthik,AD Russell,3,1,0,0,1,0,0,0,0,5,5,100
KD Karthik,YK Pathan,1,0,0,0,0,0,0,0,1,0,1,0
Mandeep Singh,YK Pathan,2,0,0,0,0,0,1,0,1,6,3,200
AB de Villiers,KC Cariappa,1,1,0,0,2,0,1,0,1,15,5,300
AB de Villiers,AD Russell,2,1,0,0,1,0,0,0,0,5,4,125
AB de Villiers,YK Pathan,1,2,0,0,0,0,1,0,0,8,4,200
DJG Sammy,SP Narine,0,2,0,0,0,0,0,0,0,2,2,100
DJG Sammy,YK Pathan,0,2,0,0,0,0,0,0,0,2,2,100
DJG Sammy,PP Chawla,0,2,0,0,0,0,0,0,0,2,2,100
DJG Sammy,Shakib Al Hasan,2,1,0,0,0,0,0,0,1,1,3,33.33
SA Abbott,YK Pathan,1,1,0,0,0,0,0,0,0,1,2,50
SA Abbott,Shakib Al Hasan,2,0,0,0,0,0,0,0,0,0,2,0
HV Patel,M Morkel,0,1,1,0,0,0,0,0,0,3,2,150
HV Patel,SP Narine,1,0,0,0,0,0,1,0,0,6,2,300
AN Ahmed,M Morkel,0,1,0,0,1,0,0,0,0,5,2,250
MA Agarwal,TG Southee,3,4,0,0,1,0,1,0,0,14,9,155.55
MA Agarwal,CH Morris,2,1,0,0,1,0,0,0,0,5,4,125
MA Agarwal,DS Kulkarni,1,0,1,0,4,0,0,0,0,18,6,300
MA Agarwal,PV Tambe,2,0,0,0,0,0,0,0,1,0,2,0
SS Iyer,TG Southee,0,2,0,0,1,0,0,0,0,6,3,200
SS Iyer,CH Morris,5,1,0,0,0,0,1,0,1,7,7,100
SS Iyer,PV Tambe,4,4,0,0,1,0,1,0,0,14,10,140
SS Iyer,DJ Hooda,4,2,0,0,0,0,0,0,0,2,6,33.33
SS Iyer,JP Faulkner,1,1,0,0,1,0,1,0,0,11,4,275
JP Duminy,TG Southee,1,4,0,0,0,0,0,0,0,4,5,80
JP Duminy,CH Morris,1,3,1,0,0,0,2,0,0,17,7,242.85
JP Duminy,PV Tambe,2,4,0,0,0,0,0,0,0,4,6,66.66
JP Duminy,DJ Hooda,3,7,1,0,0,0,0,0,0,9,11,81.81
JP Duminy,JP Faulkner,5,2,1,0,0,0,1,0,0,10,9,111.11
Yuvraj Singh,TG Southee,0,2,1,0,0,0,0,0,0,4,3,133.33
Yuvraj Singh,CH Morris,1,1,0,0,0,0,0,0,1,1,2,50
Yuvraj Singh,DJ Hooda,2,4,1,0,0,0,0,0,0,6,7,85.71
